run,n_dw_blocks,n_heads,fold,acc,f1_macro,ft_acc,tag,params_total,params_trainable,flops_est,latency_s,L,d,enc_heads,enc_layers
1,0,2,1,0.8072562358276644,0.8068589918642216,0.8616780045351474,nb0_h2,373362,373362,292848192,0.0015271425247192383,481,144,4,2
2,0,4,1,0.7981859410430839,0.7980603004733484,0.8299319727891157,nb0_h4,373362,373362,292848192,0.0015252161026000977,481,144,4,2
3,0,6,1,0.8061224489795918,0.8060124787294385,0.8514739229024944,nb0_h6,373362,373362,292848192,0.00298792839050293,481,144,4,2
4,2,2,1,0.7902494331065759,0.7900807797256911,0.8503401360544217,nb2_h2,399762,399762,48578112,0.0017330074310302735,121,144,4,2
5,2,4,1,0.8072562358276644,0.8072473158089597,0.8594104308390023,nb2_h4,399762,399762,48578112,0.0017525768280029297,121,144,4,2
6,2,6,1,0.7936507936507936,0.7935223296974686,0.86281179138322,nb2_h6,399762,399762,48578112,0.0018995285034179687,121,144,4,2
7,4,2,1,0.8140589569160998,0.8139814814814815,0.8582766439909297,nb4_h2,520210,520210,10838592,0.0019555234909057616,31,144,4,2
8,4,4,1,0.8095238095238095,0.8094758064516129,0.8480725623582767,nb4_h4,520210,520210,10838592,0.0019415187835693359,31,144,4,2
9,4,6,1,0.7845804988662132,0.784576068121166,0.8537414965986394,nb4_h6,520210,520210,10838592,0.0022765064239501955,31,144,4,2
1,0,2,1,0.8072562358276644,0.8068589918642216,0.8616780045351474,nb0_h2,373362,373362,292848192,0.001531076431274414,481,144,4,2
2,0,4,1,0.782312925170068,0.7823028507960015,0.8605442176870748,nb0_h4,373362,373362,292848192,0.0015456628799438476,481,144,4,2
3,0,6,1,0.8038548752834467,0.8037436188315372,0.8424036281179138,nb0_h6,373362,373362,292848192,0.0015274572372436523,481,144,4,2
4,2,2,1,0.7970521541950113,0.7970393700787402,0.8605442176870748,nb2_h2,399762,399762,48578112,0.0017492341995239257,121,144,4,2
5,2,4,1,0.8117913832199547,0.811790415466886,0.8469387755102041,nb2_h4,399762,399762,48578112,0.0017852115631103516,121,144,4,2
6,2,6,1,0.7868480725623582,0.7868436884567327,0.8424036281179138,nb2_h6,399762,399762,48578112,0.0017535018920898438,121,144,4,2
7,4,2,1,0.7879818594104309,0.7877524022530411,0.8571428571428571,nb4_h2,520210,520210,10838592,0.0019230270385742188,31,144,4,2
8,4,4,1,0.808390022675737,0.8080878178032932,0.8582766439909297,nb4_h4,520210,520210,10838592,0.0019259977340698243,31,144,4,2
9,4,6,1,0.8038548752834467,0.8038344498825598,0.8526077097505669,nb4_h6,520210,520210,10838592,0.0019259119033813476,31,144,4,2
