tag,fold,test_acc,test_f1_macro,val_best_acc,val_best_f1,tr_at_best_acc,tr_at_best_f1,gap_acc,gap_f1,gap_acc_abs,gap_f1_abs,params_total,params_trainable,flops_est,latency_s,L,d,enc_heads,enc_layers,D_MODEL,N_LAYERS,BASE_LR,P_DROP,P_DROP_ENCODER,WARMUP_EPOCHS,PATIENCE
GS_nb4_h2_d128_L1_lr5e-4_dp0.1_dpe0.1_wu4_pat8,1,0.7857142857142857,0.7855927396483267,0.7873015873015873,0.7872672842181657,0.8781094527363185,0.8780926875088333,0.09080786543473118,0.09082540329066757,0.09080786543473118,0.09082540329066757,195170,195170,19607808,0.0011293649673461913,121,128,4,1,128,1,0.0005,0.1,0.1,4,8
GS_nb4_h2_d128_L1_lr5e-4_dp0.1_dpe0.1_wu4_pat12,1,0.8038548752834467,0.8038546231439359,0.792063492063492,0.7920378177200007,0.912224591329069,0.9122220971965067,0.12016109926557694,0.120184279476506,0.12016109926557694,0.120184279476506,195170,195170,19607808,0.0010990428924560547,121,128,4,1,128,1,0.0005,0.1,0.1,4,12
GS_nb4_h2_d128_L1_lr5e-4_dp0.1_dpe0.1_wu8_pat8,1,0.7789115646258503,0.7779843160034854,0.780952380952381,0.780518837916166,0.8674484719260839,0.8671779331694773,0.08649609097370292,0.08665909525331128,0.08649609097370292,0.08665909525331128,195170,195170,19607808,0.0010990095138549805,121,128,4,1,128,1,0.0005,0.1,0.1,8,8
GS_nb4_h2_d128_L1_lr5e-4_dp0.1_dpe0.1_wu8_pat12,1,0.7789115646258503,0.7779843160034854,0.780952380952381,0.780518837916166,0.8674484719260839,0.8671779331694773,0.08649609097370292,0.08665909525331128,0.08649609097370292,0.08665909525331128,195170,195170,19607808,0.0010977315902709962,121,128,4,1,128,1,0.0005,0.1,0.1,8,12
GS_nb4_h2_d128_L1_lr5e-4_dp0.1_dpe0.3_wu4_pat8,1,0.8061224489795918,0.805940594059406,0.792063492063492,0.7920210473792837,0.914001421464108,0.9140007263972665,0.12193792940061599,0.12197967901798279,0.12193792940061599,0.12197967901798279,195170,195170,19607808,0.0011017608642578125,121,128,4,1,128,1,0.0005,0.1,0.3,4,8
GS_nb4_h2_d128_L1_lr5e-4_dp0.1_dpe0.3_wu4_pat12,1,0.8038548752834467,0.8037638107780334,0.7968253968253968,0.7968069666182873,0.9168443496801706,0.9168428374636861,0.12001895285477382,0.1200358708453988,0.12001895285477382,0.1200358708453988,195170,195170,19607808,0.0011394548416137696,121,128,4,1,128,1,0.0005,0.1,0.3,4,12
GS_nb4_h2_d128_L1_lr5e-4_dp0.1_dpe0.3_wu8_pat8,1,0.8049886621315193,0.8048883378519506,0.7793650793650794,0.7793200426390874,0.8948116560056859,0.8948114434658739,0.11544657664060654,0.11549140082678655,0.11544657664060654,0.11549140082678655,195170,195170,19607808,0.001102466583251953,121,128,4,1,128,1,0.0005,0.1,0.3,8,8
GS_nb4_h2_d128_L1_lr5e-4_dp0.1_dpe0.3_wu8_pat12,1,0.8049886621315193,0.8048883378519506,0.7793650793650794,0.7793200426390874,0.8948116560056859,0.8948114434658739,0.11544657664060654,0.11549140082678655,0.11544657664060654,0.11549140082678655,195170,195170,19607808,0.0011163043975830078,121,128,4,1,128,1,0.0005,0.1,0.3,8,12
GS_nb4_h2_d128_L1_lr5e-4_dp0.1_dpe0.5_wu4_pat8,1,0.7913832199546486,0.7907106305711455,0.7777777777777778,0.7772029625438268,0.8610518834399431,0.8603105336065656,0.08327410566216531,0.0831075710627388,0.08327410566216531,0.0831075710627388,195170,195170,19607808,0.0011099767684936523,121,128,4,1,128,1,0.0005,0.1,0.5,4,8
GS_nb4_h2_d128_L1_lr5e-4_dp0.1_dpe0.5_wu4_pat12,1,0.7913832199546486,0.7907106305711455,0.7777777777777778,0.7772029625438268,0.8610518834399431,0.8603105336065656,0.08327410566216531,0.0831075710627388,0.08327410566216531,0.0831075710627388,195170,195170,19607808,0.0011185407638549805,121,128,4,1,128,1,0.0005,0.1,0.5,4,12
GS_nb4_h2_d128_L1_lr5e-4_dp0.1_dpe0.5_wu8_pat8,1,0.8061224489795918,0.805940594059406,0.7825396825396825,0.782534751354906,0.8742004264392325,0.8741432086636557,0.09166074389954992,0.09160845730874967,0.09166074389954992,0.09160845730874967,195170,195170,19607808,0.0011149215698242187,121,128,4,1,128,1,0.0005,0.1,0.5,8,8
GS_nb4_h2_d128_L1_lr5e-4_dp0.1_dpe0.5_wu8_pat12,1,0.8061224489795918,0.805940594059406,0.7825396825396825,0.782534751354906,0.8742004264392325,0.8741432086636557,0.09166074389954992,0.09160845730874967,0.09166074389954992,0.09160845730874967,195170,195170,19607808,0.0011020374298095703,121,128,4,1,128,1,0.0005,0.1,0.5,8,12
GS_nb4_h2_d128_L1_lr5e-4_dp0.2_dpe0.1_wu4_pat8,1,0.8163265306122449,0.8163029168552269,0.7936507936507936,0.7936175145400115,0.8990760483297797,0.8990747737954278,0.10542525467898611,0.10545725925541627,0.10542525467898611,0.10545725925541627,195170,195170,19607808,0.0011023569107055664,121,128,4,1,128,1,0.0005,0.2,0.1,4,8
GS_nb4_h2_d128_L1_lr5e-4_dp0.2_dpe0.1_wu4_pat12,1,0.8163265306122449,0.8163029168552269,0.7936507936507936,0.7936175145400115,0.8990760483297797,0.8990747737954278,0.10542525467898611,0.10545725925541627,0.10542525467898611,0.10545725925541627,195170,195170,19607808,0.0011164808273315429,121,128,4,1,128,1,0.0005,0.2,0.1,4,12
GS_nb4_h2_d128_L1_lr5e-4_dp0.2_dpe0.1_wu8_pat8,1,0.8015873015873016,0.8014277646053836,0.7904761904761904,0.7904740788518907,0.8930348258706468,0.8929811853420255,0.10255863539445631,0.10250710649013484,0.10255863539445631,0.10250710649013484,195170,195170,19607808,0.0011028814315795898,121,128,4,1,128,1,0.0005,0.2,0.1,8,8
GS_nb4_h2_d128_L1_lr5e-4_dp0.2_dpe0.1_wu8_pat12,1,0.8015873015873016,0.8014277646053836,0.7904761904761904,0.7904740788518907,0.8930348258706468,0.8929811853420255,0.10255863539445631,0.10250710649013484,0.10255863539445631,0.10250710649013484,195170,195170,19607808,0.001104273796081543,121,128,4,1,128,1,0.0005,0.2,0.1,8,12
GS_nb4_h2_d128_L1_lr5e-4_dp0.2_dpe0.3_wu4_pat8,1,0.8049886621315193,0.8048672566371682,0.7904761904761904,0.7904740788518907,0.8848614072494669,0.8848566960064014,0.09438521677327649,0.09438261715451068,0.09438521677327649,0.09438261715451068,195170,195170,19607808,0.0011082267761230468,121,128,4,1,128,1,0.0005,0.2,0.3,4,8
GS_nb4_h2_d128_L1_lr5e-4_dp0.2_dpe0.3_wu4_pat12,1,0.8049886621315193,0.8048672566371682,0.7904761904761904,0.7904740788518907,0.8848614072494669,0.8848566960064014,0.09438521677327649,0.09438261715451068,0.09438521677327649,0.09438261715451068,195170,195170,19607808,0.001101069450378418,121,128,4,1,128,1,0.0005,0.2,0.3,4,12
GS_nb4_h2_d128_L1_lr5e-4_dp0.2_dpe0.3_wu8_pat8,1,0.8015873015873016,0.8015748031496064,0.7904761904761904,0.7904423993790886,0.8873489694385217,0.887338597629892,0.09687277896233126,0.09689619825080342,0.09687277896233126,0.09689619825080342,195170,195170,19607808,0.0010979509353637696,121,128,4,1,128,1,0.0005,0.2,0.3,8,8
GS_nb4_h2_d128_L1_lr5e-4_dp0.2_dpe0.3_wu8_pat12,1,0.8015873015873016,0.8015748031496064,0.7904761904761904,0.7904423993790886,0.8873489694385217,0.887338597629892,0.09687277896233126,0.09689619825080342,0.09687277896233126,0.09689619825080342,195170,195170,19607808,0.0011043596267700196,121,128,4,1,128,1,0.0005,0.2,0.3,8,12
GS_nb4_h2_d128_L1_lr5e-4_dp0.2_dpe0.5_wu4_pat8,1,0.800453514739229,0.8003703703703704,0.7904761904761904,0.7904423993790886,0.8916133617626155,0.8915880474644446,0.10113717128642508,0.10114564808535609,0.10113717128642508,0.10114564808535609,195170,195170,19607808,0.001112513542175293,121,128,4,1,128,1,0.0005,0.2,0.5,4,8
GS_nb4_h2_d128_L1_lr5e-4_dp0.2_dpe0.5_wu4_pat12,1,0.800453514739229,0.8003703703703704,0.7904761904761904,0.7904423993790886,0.8916133617626155,0.8915880474644446,0.10113717128642508,0.10114564808535609,0.10113717128642508,0.10114564808535609,195170,195170,19607808,0.001115717887878418,121,128,4,1,128,1,0.0005,0.2,0.5,4,12
