phase,time_mean_s,time_std_s,mem_mean_mb,mem_std_mb,flops_g,params_m
model_specs,,,,,0.019607808,0.19517
train,17.90385432243347,3.780521766110265,3218.24599609375,0.937216876193798,,
test,8.817229986190796,,97.73095703125,,,
model_specs,,,,,0.019607808,0.19517,15488,128,121
train,23.87674722671509,3.5584741056901756,3218.29169921875,0.9832383923576493,,,,,
test,11.249597072601318,,97.73095703125,,,,,,
model_specs,,,,,0.019607808,0.19517
train,17.373500108718872,2.5149665485807025,3218.24599609375,0.937216876193798,,
test,9.16972279548645,,97.73095703125,,,
model_specs,,,,,0.019607808,0.19517
train,17.12812762260437,2.6926288376696106,3218.24599609375,0.937216876193798,,
test,9.610019207000732,,97.73095703125,,,
model_specs,,,,,0.019607808,0.19517
train,16.605462551116943,2.733460308605031,3218.24599609375,0.937216876193798,,
test,8.643531322479248,,97.73095703125,,,
model_specs,,,,,0.019607808,0.19517
train,16.562268686294555,2.7753852000582633,3218.24599609375,0.937216876193798,,
test,8.61391806602478,,97.73095703125,,,
