tag,fold,test_acc,test_f1_macro,val_best_acc,val_best_f1,tr_at_best_acc,tr_at_best_f1,gap_acc,gap_f1,gap_acc_abs,gap_f1_abs,params_total,params_trainable,flops_est,latency_s,L,d,enc_heads,enc_layers,D_MODEL,N_LAYERS,BASE_LR,P_DROP,P_DROP_ENCODER,WARMUP_EPOCHS,PATIENCE,efficiency
GS_nb4_h2_d128_L3_lr1e-3_dp0.2_dpe0.5_wu4_pat8,1,0.8253968253968254,0.8253887449092929,0.7936507936507936,0.7936424748793098,0.9157782515991472,0.9157773900788216,0.1221274579483535,0.1221349151995117,0.1221274579483535,0.1221349151995117,460130,460130,58823424,0.0023073148727416,121,128,4,3,128,3,0.001,0.2,0.5,4,8,
GS_nb4_h2_d128_L3_lr1e-3_dp0.2_dpe0.5_wu4_pat12,1,0.8253968253968254,0.8253887449092929,0.7936507936507936,0.7936424748793098,0.9157782515991472,0.9157773900788216,0.1221274579483535,0.1221349151995117,0.1221274579483535,0.1221349151995117,460130,460130,58823424,0.0023127937316894,121,128,4,3,128,3,0.001,0.2,0.5,4,12,
GS_nb4_h2_d144_L1_lr1e-3_dp0.2_dpe0.5_wu4_pat12,1,0.8219954648526077,0.8219952360323579,0.7952380952380952,0.7952251968503936,0.8972992181947406,0.8972991014684817,0.1020611229566453,0.102073904618088,0.1020611229566453,0.102073904618088,232290,232290,24289056,0.0011241674423217,121,144,4,1,144,1,0.001,0.2,0.5,4,12,
GS_nb4_h2_d128_L3_lr2e-3_dp0.3_dpe0.3_wu4_pat8,1,0.8208616780045351,0.8208533876342096,0.7952380952380952,0.7951219512195122,0.8848614072494669,0.8848189921775513,0.0896233120113717,0.0896970409580391,0.0896233120113717,0.0896970409580391,460130,460130,58823424,0.0023138380050659,121,128,4,3,128,3,0.002,0.3,0.3,4,8,
GS_nb4_h2_d128_L3_lr2e-3_dp0.3_dpe0.3_wu4_pat12,1,0.8208616780045351,0.8208533876342096,0.7952380952380952,0.7951219512195122,0.8848614072494669,0.8848189921775513,0.0896233120113717,0.0896970409580391,0.0896233120113717,0.0896970409580391,460130,460130,58823424,0.0023056507110595,121,128,4,3,128,3,0.002,0.3,0.3,4,12,
GS_nb4_h2_d128_L2_lr2e-3_dp0.1_dpe0.1_wu8_pat8,1,0.81859410430839,0.81859410430839,0.7873015873015873,0.787293012567904,0.8930348258706468,0.8930074649744189,0.1057332385690594,0.1057144524065148,0.1057332385690594,0.1057144524065148,327650,327650,39215616,0.0017187452316284,121,128,4,2,128,2,0.002,0.1,0.1,8,8,
GS_nb4_h2_d128_L2_lr2e-3_dp0.1_dpe0.1_wu8_pat12,1,0.81859410430839,0.81859410430839,0.7873015873015873,0.787293012567904,0.8930348258706468,0.8930074649744189,0.1057332385690594,0.1057144524065148,0.1057332385690594,0.1057144524065148,327650,327650,39215616,0.0017120122909545,121,128,4,2,128,2,0.002,0.1,0.1,8,12,
GS_nb4_h2_d144_L1_lr5e-4_dp0.1_dpe0.1_wu4_pat12,1,0.81859410430839,0.8185857089966679,0.7777777777777778,0.7777217741935484,0.9015636105188344,0.9015600178169398,0.1237858327410565,0.1238382436233914,0.1237858327410565,0.1238382436233914,232290,232290,24289056,0.0011067819595336,121,144,4,1,144,1,0.0005,0.1,0.1,4,12,
GS_nb4_h2_d128_L3_lr2e-3_dp0.2_dpe0.5_wu4_pat12,1,0.8174603174603174,0.817356778218945,0.7952380952380952,0.7949648183141551,0.8898365316275764,0.8898095914186033,0.0945984363894811,0.0948447731044481,0.0945984363894811,0.0948447731044481,460130,460130,58823424,0.002303991317749,121,128,4,3,128,3,0.002,0.2,0.5,4,12,
GS_nb4_h2_d144_L3_lr1e-3_dp0.3_dpe0.1_wu8_pat8,1,0.8174603174603174,0.8172627634371104,0.7873015873015873,0.787293012567904,0.90227434257285,0.9022422323409754,0.1149727552712627,0.1149492197730714,0.1149727552712627,0.1149492197730714,567234,567234,72867168,0.0023237037658691,121,144,4,3,144,3,0.001,0.3,0.1,8,8,
GS_nb4_h2_d128_L1_lr5e-4_dp0.2_dpe0.1_wu4_pat8,1,0.8163265306122449,0.8163029168552269,0.7936507936507936,0.7936175145400115,0.8990760483297797,0.8990747737954278,0.1054252546789861,0.1054572592554162,0.1054252546789861,0.1054572592554162,195170,195170,19607808,0.0011023569107055,121,128,4,1,128,1,0.0005,0.2,0.1,4,8,4.182643493427499e-06
