subject,acc_mean,acc_std,f1_macro_mean,f1_macro_std,bal_acc_mean,k,n_classes,crop,n_chans,input_window_seconds,sfreq,drop_prob,n_epochs
S001,0.22222222222222224,2.7755575615628914e-17,0.09090909090909091,0.0,0.22222222222222224,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S002,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S003,0.25555555555555554,0.027216552697590882,0.10158102766798419,0.008713599875513279,0.25555555555555554,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S004,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S005,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S006,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S007,0.24444444444444446,0.027216552697590882,0.09802371541501975,0.008713599875513279,0.24444444444444446,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S008,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S009,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S010,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S011,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S012,0.26176470588235295,0.0269563276173873,0.10354978354978354,0.00841721431493358,0.26176470588235295,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S013,0.23161764705882354,0.023018346827203717,0.09388471177944861,0.007766350754630163,0.23161764705882354,5,4,"(0.5, 4.5)",8,4.0,160,0.5,82
S014,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S015,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
