EEGNet INTRA-SUBJECT (k-fold=5) — Métricas por sujeto (incluye GLOBAL)
Generado: 2025-10-13 07:25:26
Total filas: 104

subject | acc_mean | f1_macro_mean | acc_sd | f1_macro_sd | k | T | C | window
------------------------------------------------------------------------------------------------------------------------
S001 | 0.3222 | 0.2979 | 0.1700 | 0.1709 | 5 | 480 | 8 | (0.0, 3.0)
S002 | 0.3778 | 0.3534 | 0.1077 | 0.1166 | 5 | 480 | 8 | (0.0, 3.0)
S003 | 0.3667 | 0.3522 | 0.1030 | 0.1101 | 5 | 480 | 8 | (0.0, 3.0)
S004 | 0.3222 | 0.2758 | 0.0544 | 0.0543 | 5 | 480 | 8 | (0.0, 3.0)
S005 | 0.2667 | 0.2459 | 0.1186 | 0.1222 | 5 | 480 | 8 | (0.0, 3.0)
S006 | 0.4111 | 0.3608 | 0.1030 | 0.1243 | 5 | 480 | 8 | (0.0, 3.0)
S007 | 0.4667 | 0.4554 | 0.1633 | 0.1517 | 5 | 480 | 8 | (0.0, 3.0)
S008 | 0.3000 | 0.2553 | 0.0754 | 0.0936 | 5 | 480 | 8 | (0.0, 3.0)
S009 | 0.3889 | 0.3712 | 0.0497 | 0.0541 | 5 | 480 | 8 | (0.0, 3.0)
S010 | 0.3111 | 0.2444 | 0.0969 | 0.0925 | 5 | 480 | 8 | (0.0, 3.0)
S011 | 0.1889 | 0.1658 | 0.0754 | 0.0529 | 5 | 480 | 8 | (0.0, 3.0)
S012 | 0.3000 | 0.2260 | 0.0567 | 0.0809 | 5 | 480 | 8 | (0.0, 3.0)
S013 | 0.3667 | 0.3191 | 0.0444 | 0.0679 | 5 | 480 | 8 | (0.0, 3.0)
S014 | 0.3000 | 0.2418 | 0.1030 | 0.0986 | 5 | 480 | 8 | (0.0, 3.0)
S015 | 0.4889 | 0.4279 | 0.0648 | 0.0947 | 5 | 480 | 8 | (0.0, 3.0)
S016 | 0.1889 | 0.1703 | 0.0567 | 0.0538 | 5 | 480 | 8 | (0.0, 3.0)
S017 | 0.3222 | 0.2719 | 0.0956 | 0.0816 | 5 | 480 | 8 | (0.0, 3.0)
S018 | 0.4667 | 0.4346 | 0.1944 | 0.2094 | 5 | 480 | 8 | (0.0, 3.0)
S019 | 0.3667 | 0.3521 | 0.1879 | 0.1850 | 5 | 480 | 8 | (0.0, 3.0)
S020 | 0.3444 | 0.3235 | 0.0816 | 0.0909 | 5 | 480 | 8 | (0.0, 3.0)
S021 | 0.3111 | 0.2452 | 0.0567 | 0.0795 | 5 | 480 | 8 | (0.0, 3.0)
S022 | 0.4556 | 0.4299 | 0.1133 | 0.1161 | 5 | 480 | 8 | (0.0, 3.0)
S023 | 0.2333 | 0.1939 | 0.1286 | 0.1144 | 5 | 480 | 8 | (0.0, 3.0)
S024 | 0.4111 | 0.3764 | 0.1432 | 0.1597 | 5 | 480 | 8 | (0.0, 3.0)
S025 | 0.3333 | 0.2792 | 0.1111 | 0.1163 | 5 | 480 | 8 | (0.0, 3.0)
S026 | 0.3222 | 0.2865 | 0.0956 | 0.1045 | 5 | 480 | 8 | (0.0, 3.0)
S027 | 0.3000 | 0.2793 | 0.0444 | 0.0531 | 5 | 480 | 8 | (0.0, 3.0)
S028 | 0.2333 | 0.2046 | 0.1379 | 0.1361 | 5 | 480 | 8 | (0.0, 3.0)
S029 | 0.2778 | 0.2393 | 0.0786 | 0.0657 | 5 | 480 | 8 | (0.0, 3.0)
S030 | 0.4222 | 0.3793 | 0.0567 | 0.0588 | 5 | 480 | 8 | (0.0, 3.0)
S031 | 0.2778 | 0.2140 | 0.0994 | 0.1182 | 5 | 480 | 8 | (0.0, 3.0)
S032 | 0.4000 | 0.3543 | 0.1379 | 0.1553 | 5 | 480 | 8 | (0.0, 3.0)
S033 | 0.2889 | 0.2620 | 0.0956 | 0.1008 | 5 | 480 | 8 | (0.0, 3.0)
S034 | 0.2667 | 0.2360 | 0.1018 | 0.0949 | 5 | 480 | 8 | (0.0, 3.0)
S035 | 0.4667 | 0.4301 | 0.0444 | 0.0586 | 5 | 480 | 8 | (0.0, 3.0)
S036 | 0.2889 | 0.2349 | 0.1133 | 0.1268 | 5 | 480 | 8 | (0.0, 3.0)
S037 | 0.3000 | 0.2728 | 0.0754 | 0.0786 | 5 | 480 | 8 | (0.0, 3.0)
S039 | 0.2556 | 0.1979 | 0.0903 | 0.0998 | 5 | 480 | 8 | (0.0, 3.0)
S040 | 0.4778 | 0.4645 | 0.1089 | 0.1155 | 5 | 480 | 8 | (0.0, 3.0)
S041 | 0.3444 | 0.2788 | 0.1286 | 0.1348 | 5 | 480 | 8 | (0.0, 3.0)
S042 | 0.3111 | 0.2747 | 0.1846 | 0.1918 | 5 | 480 | 8 | (0.0, 3.0)
S043 | 0.3111 | 0.2925 | 0.0567 | 0.0484 | 5 | 480 | 8 | (0.0, 3.0)
S044 | 0.3000 | 0.2487 | 0.1089 | 0.1301 | 5 | 480 | 8 | (0.0, 3.0)
S045 | 0.4111 | 0.3721 | 0.1879 | 0.2141 | 5 | 480 | 8 | (0.0, 3.0)
S046 | 0.2444 | 0.2248 | 0.0272 | 0.0384 | 5 | 480 | 8 | (0.0, 3.0)
S047 | 0.3111 | 0.2837 | 0.0567 | 0.0612 | 5 | 480 | 8 | (0.0, 3.0)
S048 | 0.3667 | 0.3277 | 0.1197 | 0.1527 | 5 | 480 | 8 | (0.0, 3.0)
S049 | 0.3000 | 0.2459 | 0.0754 | 0.0795 | 5 | 480 | 8 | (0.0, 3.0)
S050 | 0.2889 | 0.2532 | 0.0737 | 0.0785 | 5 | 480 | 8 | (0.0, 3.0)
S051 | 0.5111 | 0.4892 | 0.0222 | 0.0255 | 5 | 480 | 8 | (0.0, 3.0)
S052 | 0.3667 | 0.3191 | 0.0754 | 0.0563 | 5 | 480 | 8 | (0.0, 3.0)
S053 | 0.3000 | 0.2566 | 0.1030 | 0.1048 | 5 | 480 | 8 | (0.0, 3.0)
S054 | 0.3778 | 0.3529 | 0.0544 | 0.0599 | 5 | 480 | 8 | (0.0, 3.0)
S055 | 0.3111 | 0.2925 | 0.0754 | 0.0752 | 5 | 480 | 8 | (0.0, 3.0)
S056 | 0.3111 | 0.2313 | 0.0567 | 0.0592 | 5 | 480 | 8 | (0.0, 3.0)
S057 | 0.3778 | 0.3542 | 0.1507 | 0.1439 | 5 | 480 | 8 | (0.0, 3.0)
S058 | 0.3556 | 0.3570 | 0.0567 | 0.0509 | 5 | 480 | 8 | (0.0, 3.0)
S059 | 0.2222 | 0.2044 | 0.0351 | 0.0403 | 5 | 480 | 8 | (0.0, 3.0)
S060 | 0.3111 | 0.2354 | 0.0667 | 0.0743 | 5 | 480 | 8 | (0.0, 3.0)
S061 | 0.4333 | 0.3939 | 0.1872 | 0.1803 | 5 | 480 | 8 | (0.0, 3.0)
S062 | 0.3222 | 0.2711 | 0.1077 | 0.1122 | 5 | 480 | 8 | (0.0, 3.0)
S063 | 0.3000 | 0.2331 | 0.0754 | 0.1026 | 5 | 480 | 8 | (0.0, 3.0)
S064 | 0.2778 | 0.2175 | 0.0609 | 0.0439 | 5 | 480 | 8 | (0.0, 3.0)
S065 | 0.3667 | 0.3323 | 0.0272 | 0.0357 | 5 | 480 | 8 | (0.0, 3.0)
S066 | 0.2111 | 0.1915 | 0.0648 | 0.0803 | 5 | 480 | 8 | (0.0, 3.0)
S067 | 0.2667 | 0.2315 | 0.1133 | 0.1039 | 5 | 480 | 8 | (0.0, 3.0)
S068 | 0.2667 | 0.2551 | 0.1077 | 0.1155 | 5 | 480 | 8 | (0.0, 3.0)
S069 | 0.3444 | 0.3130 | 0.1186 | 0.1296 | 5 | 480 | 8 | (0.0, 3.0)
S070 | 0.5111 | 0.4909 | 0.0737 | 0.0808 | 5 | 480 | 8 | (0.0, 3.0)
S071 | 0.3556 | 0.2814 | 0.0969 | 0.0822 | 5 | 480 | 8 | (0.0, 3.0)
S072 | 0.4333 | 0.4157 | 0.0956 | 0.0892 | 5 | 480 | 8 | (0.0, 3.0)
S073 | 0.2222 | 0.1961 | 0.0930 | 0.0871 | 5 | 480 | 8 | (0.0, 3.0)
S074 | 0.4111 | 0.3914 | 0.1030 | 0.1094 | 5 | 480 | 8 | (0.0, 3.0)
S075 | 0.3000 | 0.2767 | 0.1474 | 0.1421 | 5 | 480 | 8 | (0.0, 3.0)
S076 | 0.3111 | 0.2794 | 0.1030 | 0.1173 | 5 | 480 | 8 | (0.0, 3.0)
S077 | 0.2333 | 0.2110 | 0.0737 | 0.0676 | 5 | 480 | 8 | (0.0, 3.0)
S078 | 0.3222 | 0.2766 | 0.0544 | 0.0442 | 5 | 480 | 8 | (0.0, 3.0)
S079 | 0.3222 | 0.2646 | 0.0416 | 0.0860 | 5 | 480 | 8 | (0.0, 3.0)
S080 | 0.3778 | 0.3083 | 0.0648 | 0.0657 | 5 | 480 | 8 | (0.0, 3.0)
S081 | 0.2778 | 0.2465 | 0.0786 | 0.0648 | 5 | 480 | 8 | (0.0, 3.0)
S082 | 0.3000 | 0.2676 | 0.1030 | 0.0836 | 5 | 480 | 8 | (0.0, 3.0)
S083 | 0.2778 | 0.2454 | 0.0994 | 0.1155 | 5 | 480 | 8 | (0.0, 3.0)
S084 | 0.2556 | 0.2321 | 0.1343 | 0.1207 | 5 | 480 | 8 | (0.0, 3.0)
S085 | 0.2556 | 0.2239 | 0.0831 | 0.1072 | 5 | 480 | 8 | (0.0, 3.0)
S086 | 0.5444 | 0.5058 | 0.1186 | 0.1417 | 5 | 480 | 8 | (0.0, 3.0)
S087 | 0.2556 | 0.1687 | 0.0831 | 0.0815 | 5 | 480 | 8 | (0.0, 3.0)
S090 | 0.3889 | 0.3506 | 0.1217 | 0.1219 | 5 | 480 | 8 | (0.0, 3.0)
S091 | 0.4667 | 0.4571 | 0.0969 | 0.1020 | 5 | 480 | 8 | (0.0, 3.0)
S093 | 0.3222 | 0.2778 | 0.0544 | 0.1005 | 5 | 480 | 8 | (0.0, 3.0)
S094 | 0.4000 | 0.3558 | 0.1077 | 0.1296 | 5 | 480 | 8 | (0.0, 3.0)
