subject,acc_mean,f1_macro_mean,acc_sd,f1_macro_sd,k,T,C,window
S001,0.32222222222222224,0.2978964499552735,0.16996731711975951,0.17094550865997907,5,480,8,"(0.0, 3.0)"
S002,0.37777777777777777,0.35343073593073593,0.1077262190536962,0.11663217968013712,5,480,8,"(0.0, 3.0)"
S003,0.36666666666666664,0.35215700965700963,0.10304020550550783,0.11010409722243901,5,480,8,"(0.0, 3.0)"
S004,0.3222222222222222,0.27580808080808084,0.05443310539518174,0.05432960605535749,5,480,8,"(0.0, 3.0)"
S005,0.26666666666666666,0.2458531746031746,0.1186342028003479,0.12220216027886067,5,480,8,"(0.0, 3.0)"
S006,0.4111111111111111,0.36077422577422574,0.10304020550550784,0.12428759280185071,5,480,8,"(0.0, 3.0)"
S007,0.4666666666666667,0.4553760128760129,0.16329931618554525,0.15170649063808192,5,480,8,"(0.0, 3.0)"
S008,0.3,0.2552836052836053,0.07535922203472521,0.0936196504383849,5,480,8,"(0.0, 3.0)"
S009,0.38888888888888884,0.37122835497835494,0.049690399499995326,0.05406625676985454,5,480,8,"(0.0, 3.0)"
S010,0.31111111111111106,0.24437382062382063,0.09686442096757052,0.0925359605313457,5,480,8,"(0.0, 3.0)"
S011,0.18888888888888888,0.1658222333222333,0.07535922203472521,0.05287506324925585,5,480,8,"(0.0, 3.0)"
S012,0.3,0.22595467398098976,0.056655772373253165,0.08090405460750953,5,480,8,"(0.0, 3.0)"
S013,0.3666666666666666,0.319056499056499,0.04444444444444445,0.0678592415338789,5,480,8,"(0.0, 3.0)"
S014,0.3,0.2418253968253968,0.10304020550550781,0.09859417471371192,5,480,8,"(0.0, 3.0)"
S015,0.4888888888888888,0.4279297310876258,0.06478835438717002,0.09473928230854435,5,480,8,"(0.0, 3.0)"
S016,0.18888888888888888,0.1703246753246753,0.05665577237325317,0.053759155535085416,5,480,8,"(0.0, 3.0)"
S017,0.3222222222222222,0.27186230436230435,0.09558139185602918,0.08159717312043052,5,480,8,"(0.0, 3.0)"
S018,0.4666666666666667,0.4346292596292596,0.19436506316151,0.2094027431465306,5,480,8,"(0.0, 3.0)"
S019,0.36666666666666664,0.3520707070707071,0.18790593916986406,0.18496340676098208,5,480,8,"(0.0, 3.0)"
S020,0.34444444444444444,0.32350233100233095,0.0816496580927726,0.09087171754174156,5,480,8,"(0.0, 3.0)"
S021,0.31111111111111106,0.2451602564102564,0.056655772373253165,0.07952384918571745,5,480,8,"(0.0, 3.0)"
S022,0.45555555555555555,0.42994588744588735,0.11331154474650636,0.11606956616523077,5,480,8,"(0.0, 3.0)"
S023,0.23333333333333334,0.1938947163947164,0.1286204100310025,0.11437301651359907,5,480,8,"(0.0, 3.0)"
S024,0.4111111111111111,0.3764149739149739,0.14315665251916804,0.15968512003927693,5,480,8,"(0.0, 3.0)"
S025,0.33333333333333337,0.2791744366744367,0.11111111111111112,0.11626163605366666,5,480,8,"(0.0, 3.0)"
S026,0.32222222222222224,0.2864677642618819,0.09558139185602918,0.10451707912505313,5,480,8,"(0.0, 3.0)"
S027,0.3,0.2793032212885154,0.04444444444444444,0.05312581833654116,5,480,8,"(0.0, 3.0)"
S028,0.2333333333333333,0.20457707325354382,0.13788526273323176,0.13605549287501023,5,480,8,"(0.0, 3.0)"
S029,0.2777777777777778,0.23932900432900434,0.07856742013183862,0.06565827186467382,5,480,8,"(0.0, 3.0)"
S030,0.4222222222222222,0.37930874680874677,0.056655772373253165,0.05875237694217668,5,480,8,"(0.0, 3.0)"
S031,0.2777777777777778,0.21404760272407333,0.09938079899999067,0.11817270069184624,5,480,8,"(0.0, 3.0)"
S032,0.4,0.3542762629527335,0.13788526273323173,0.15533381956825187,5,480,8,"(0.0, 3.0)"
S033,0.28888888888888886,0.2620407207171913,0.09558139185602918,0.10081278912458834,5,480,8,"(0.0, 3.0)"
S034,0.2666666666666667,0.23601343101343097,0.10183501544346311,0.09492260210378699,5,480,8,"(0.0, 3.0)"
S035,0.4666666666666666,0.430050505050505,0.04444444444444445,0.05856408512147785,5,480,8,"(0.0, 3.0)"
S036,0.28888888888888886,0.23494769119769118,0.11331154474650633,0.12675212191885654,5,480,8,"(0.0, 3.0)"
S037,0.3,0.2728313353313353,0.07535922203472521,0.07862423569986433,5,480,8,"(0.0, 3.0)"
S039,0.2555555555555556,0.19791347541347543,0.09026709338484401,0.09975789454285745,5,480,8,"(0.0, 3.0)"
S040,0.4777777777777777,0.46449647574647573,0.10886621079036346,0.11554964701151474,5,480,8,"(0.0, 3.0)"
S041,0.34444444444444444,0.27875901875901876,0.1286204100310025,0.1348124173421201,5,480,8,"(0.0, 3.0)"
S042,0.31111111111111117,0.2747039072039072,0.1845916413981795,0.19181526693229412,5,480,8,"(0.0, 3.0)"
S043,0.31111111111111106,0.29248889998890004,0.056655772373253165,0.04840916888484514,5,480,8,"(0.0, 3.0)"
S044,0.30000000000000004,0.24871155160628847,0.10886621079036347,0.13007798804782925,5,480,8,"(0.0, 3.0)"
S045,0.4111111111111111,0.37211149961149964,0.18790593916986403,0.21405489797894936,5,480,8,"(0.0, 3.0)"
S046,0.24444444444444446,0.22478798978798978,0.027216552697590882,0.03837811137764898,5,480,8,"(0.0, 3.0)"
S047,0.31111111111111106,0.2837157287157287,0.056655772373253165,0.06115096209720818,5,480,8,"(0.0, 3.0)"
S048,0.3666666666666666,0.32767898767898773,0.11967032904743342,0.15270731254747003,5,480,8,"(0.0, 3.0)"
S049,0.3,0.24587454212454213,0.07535922203472521,0.07950265173356151,5,480,8,"(0.0, 3.0)"
S050,0.28888888888888886,0.25315692477457186,0.07370277311900889,0.07847844390018639,5,480,8,"(0.0, 3.0)"
S051,0.5111111111111111,0.4891736041736041,0.022222222222222233,0.025451056253253626,5,480,8,"(0.0, 3.0)"
S052,0.3666666666666666,0.31909090909090904,0.07535922203472518,0.05627956829225446,5,480,8,"(0.0, 3.0)"
S053,0.3,0.2565820290820291,0.10304020550550783,0.10480589977620376,5,480,8,"(0.0, 3.0)"
S054,0.3777777777777777,0.352913197913198,0.05443310539518173,0.05988949610371954,5,480,8,"(0.0, 3.0)"
S055,0.3111111111111111,0.2925019425019425,0.0753592220347252,0.07524689095606524,5,480,8,"(0.0, 3.0)"
S056,0.31111111111111106,0.2312770562770563,0.056655772373253165,0.05924705437211113,5,480,8,"(0.0, 3.0)"
S057,0.37777777777777777,0.35421604539251594,0.15071844406945042,0.14391473649688374,5,480,8,"(0.0, 3.0)"
S058,0.3555555555555555,0.35704184704184705,0.05665577237325316,0.05094674998298626,5,480,8,"(0.0, 3.0)"
S059,0.22222222222222224,0.2043709068709069,0.035136418446315335,0.04030569348858645,5,480,8,"(0.0, 3.0)"
S060,0.3111111111111111,0.23540074659639876,0.06666666666666665,0.07425984686847019,5,480,8,"(0.0, 3.0)"
S061,0.4333333333333334,0.39394300144300143,0.1872477727372524,0.180321806821918,5,480,8,"(0.0, 3.0)"
S062,0.32222222222222224,0.27108988233988235,0.10772621905369621,0.11217467627900295,5,480,8,"(0.0, 3.0)"
S063,0.3,0.233133846829499,0.07535922203472518,0.1025568777496003,5,480,8,"(0.0, 3.0)"
S064,0.2777777777777778,0.2174848027789204,0.060858061945018464,0.04393489639874603,5,480,8,"(0.0, 3.0)"
S065,0.36666666666666664,0.33225288600288605,0.027216552697590882,0.035723907342999794,5,480,8,"(0.0, 3.0)"
S066,0.2111111111111111,0.19153651903651903,0.06478835438717001,0.08027547077062984,5,480,8,"(0.0, 3.0)"
S067,0.2666666666666667,0.23154761904761903,0.11331154474650632,0.10387779294910351,5,480,8,"(0.0, 3.0)"
S068,0.26666666666666666,0.2551223776223776,0.1077262190536962,0.11548869792528839,5,480,8,"(0.0, 3.0)"
S069,0.34444444444444444,0.3129777167277167,0.11863420280034792,0.1295569853832364,5,480,8,"(0.0, 3.0)"
S070,0.5111111111111111,0.49093156843156843,0.0737027731190089,0.08081733725835223,5,480,8,"(0.0, 3.0)"
S071,0.3555555555555555,0.2814257964257964,0.09686442096757052,0.08219198241913162,5,480,8,"(0.0, 3.0)"
S072,0.4333333333333334,0.41567432567432566,0.09558139185602921,0.08918921307593108,5,480,8,"(0.0, 3.0)"
S073,0.22222222222222224,0.19605450105450103,0.09296222517045283,0.08708859662481272,5,480,8,"(0.0, 3.0)"
S074,0.4111111111111111,0.39144383394383386,0.10304020550550783,0.10940104191662182,5,480,8,"(0.0, 3.0)"
S075,0.3,0.27668220668220667,0.14740554623801777,0.14214358704560312,5,480,8,"(0.0, 3.0)"
S076,0.3111111111111111,0.27944749694749693,0.10304020550550783,0.11731905766447155,5,480,8,"(0.0, 3.0)"
S077,0.2333333333333333,0.21104256854256853,0.07370277311900889,0.06755174758084068,5,480,8,"(0.0, 3.0)"
S078,0.3222222222222222,0.2766017316017316,0.05443310539518174,0.04423780696164505,5,480,8,"(0.0, 3.0)"
S079,0.3222222222222222,0.26462121212121215,0.0415739709641549,0.08603993029484817,5,480,8,"(0.0, 3.0)"
S080,0.37777777777777777,0.3082810245310245,0.06478835438717001,0.06573453172948178,5,480,8,"(0.0, 3.0)"
S081,0.2777777777777778,0.24646464646464644,0.07856742013183862,0.06482707370186053,5,480,8,"(0.0, 3.0)"
S082,0.3,0.26764652014652013,0.10304020550550781,0.08359570079687736,5,480,8,"(0.0, 3.0)"
S083,0.2777777777777778,0.24542207792207793,0.09938079899999065,0.11548937576332656,5,480,8,"(0.0, 3.0)"
S084,0.25555555555555554,0.2320686258186258,0.134256066373273,0.1206994610517641,5,480,8,"(0.0, 3.0)"
S085,0.2555555555555556,0.22394966144966144,0.08314794192830981,0.1072305307866064,5,480,8,"(0.0, 3.0)"
S086,0.5444444444444445,0.5058325008325009,0.11863420280034792,0.14166188780309238,5,480,8,"(0.0, 3.0)"
S087,0.2555555555555556,0.1686940836940837,0.08314794192830981,0.08149973083639762,5,480,8,"(0.0, 3.0)"
S090,0.38888888888888884,0.3505694305694306,0.12171612389003693,0.12189379861706777,5,480,8,"(0.0, 3.0)"
S091,0.4666666666666666,0.45710733710733714,0.09686442096757054,0.10199292508198814,5,480,8,"(0.0, 3.0)"
S093,0.32222222222222224,0.2777669552669552,0.05443310539518174,0.10052062565972081,5,480,8,"(0.0, 3.0)"
S094,0.4,0.35583749583749585,0.1077262190536962,0.12956180296140693,5,480,8,"(0.0, 3.0)"
S095,0.19999999999999998,0.16930555555555554,0.04444444444444445,0.0486501948485897,5,480,8,"(0.0, 3.0)"
S096,0.2666666666666667,0.23370950944480356,0.0955813918560292,0.09733373328198168,5,480,8,"(0.0, 3.0)"
S097,0.2333333333333333,0.21264763014763016,0.08164965809277261,0.078786070341446,5,480,8,"(0.0, 3.0)"
S098,0.24444444444444446,0.20042748917748918,0.056655772373253165,0.04395066431374806,5,480,8,"(0.0, 3.0)"
S099,0.34444444444444444,0.2985474492827434,0.06478835438717001,0.11896812671553884,5,480,8,"(0.0, 3.0)"
S101,0.3666666666666667,0.32893550893550894,0.10304020550550783,0.1050300991474442,5,480,8,"(0.0, 3.0)"
S102,0.45555555555555555,0.42702380952380947,0.0888888888888889,0.09070809567764672,5,480,8,"(0.0, 3.0)"
S103,0.32222222222222224,0.26528860028860024,0.06478835438717001,0.06365422031895353,5,480,8,"(0.0, 3.0)"
S105,0.4,0.3561688311688312,0.1286204100310025,0.13188537049281854,5,480,8,"(0.0, 3.0)"
S106,0.2666666666666667,0.23921148296148295,0.05443310539518174,0.05817465604097781,5,480,8,"(0.0, 3.0)"
S107,0.24444444444444446,0.1675277862234384,0.027216552697590882,0.03886822746801938,5,480,8,"(0.0, 3.0)"
S108,0.37777777777777777,0.36849927849927844,0.146565621758588,0.13253187943874875,5,480,8,"(0.0, 3.0)"
S109,0.19999999999999998,0.19788461538461538,0.04444444444444445,0.02931959865700921,5,480,8,"(0.0, 3.0)"
GLOBAL,0.33085221143473575,0.29366739803651304,0.07724322452455842,0.0805926567280489,5,480,8,"(0.0, 3.0)"
