EEGNet INTRA FT (progresivo) — 2025-10-14 04:30:40
k-fold por sujeto: 5

subject | acc_mean | f1_macro_mean | k
------------------------------------------------------------
S001 | 0.6000 | 0.5787 | 5
S002 | 0.5667 | 0.5281 | 5
S003 | 0.5444 | 0.5173 | 5
S004 | 0.6778 | 0.6686 | 5
S005 | 0.4333 | 0.4218 | 5
S006 | 0.6111 | 0.5678 | 5
S007 | 0.8333 | 0.8300 | 5
S008 | 0.5111 | 0.4948 | 5
S009 | 0.5333 | 0.5177 | 5
S010 | 0.5111 | 0.4945 | 5
S011 | 0.4556 | 0.4353 | 5
S012 | 0.5667 | 0.5401 | 5
S013 | 0.3556 | 0.3223 | 5
S014 | 0.3444 | 0.3230 | 5
S015 | 0.7444 | 0.7267 | 5
S016 | 0.4556 | 0.4211 | 5
S017 | 0.4889 | 0.4631 | 5
S018 | 0.7333 | 0.7174 | 5
S019 | 0.5333 | 0.5251 | 5
S020 | 0.6333 | 0.6262 | 5
S021 | 0.5111 | 0.4841 | 5
S022 | 0.7778 | 0.7670 | 5
S023 | 0.4444 | 0.4154 | 5
S024 | 0.4889 | 0.4748 | 5
S025 | 0.3778 | 0.3566 | 5
S026 | 0.4222 | 0.3971 | 5
S027 | 0.4556 | 0.4237 | 5
S028 | 0.4889 | 0.4617 | 5
S029 | 0.5667 | 0.5546 | 5
S030 | 0.5667 | 0.5469 | 5
S031 | 0.4667 | 0.4500 | 5
S032 | 0.6889 | 0.6667 | 5
S033 | 0.6556 | 0.6389 | 5
S034 | 0.5556 | 0.5199 | 5
S035 | 0.7667 | 0.7388 | 5
S036 | 0.6111 | 0.5883 | 5
S037 | 0.4333 | 0.4265 | 5
S039 | 0.3556 | 0.3385 | 5
S040 | 0.5222 | 0.4851 | 5
S041 | 0.4556 | 0.4558 | 5
S042 | 0.5222 | 0.5212 | 5
S043 | 0.5667 | 0.5381 | 5
S044 | 0.5667 | 0.5313 | 5
S045 | 0.6000 | 0.5993 | 5
S046 | 0.4778 | 0.4640 | 5
S047 | 0.4333 | 0.4021 | 5
S048 | 0.6222 | 0.6129 | 5
S049 | 0.3444 | 0.3240 | 5
S050 | 0.4222 | 0.3854 | 5
S051 | 0.6000 | 0.5861 | 5
S052 | 0.4667 | 0.4416 | 5
S053 | 0.5667 | 0.5360 | 5
S054 | 0.5778 | 0.5708 | 5
S055 | 0.6222 | 0.5924 | 5
S056 | 0.5556 | 0.5466 | 5
S057 | 0.7222 | 0.6848 | 5
S058 | 0.5222 | 0.5205 | 5
S059 | 0.3556 | 0.3668 | 5
S060 | 0.5889 | 0.5794 | 5
S061 | 0.6333 | 0.6189 | 5
S062 | 0.7000 | 0.6815 | 5
S063 | 0.4889 | 0.4389 | 5
S064 | 0.5222 | 0.5040 | 5
S065 | 0.4889 | 0.4345 | 5
S066 | 0.5222 | 0.5081 | 5
S067 | 0.4000 | 0.3958 | 5
S068 | 0.4222 | 0.4135 | 5
S069 | 0.4556 | 0.4446 | 5
S070 | 0.7000 | 0.6711 | 5
S071 | 0.6222 | 0.6178 | 5
S072 | 0.7222 | 0.7152 | 5
S073 | 0.4556 | 0.4373 | 5
S074 | 0.3889 | 0.3653 | 5
S075 | 0.4667 | 0.4502 | 5
S076 | 0.3667 | 0.3344 | 5
S077 | 0.3444 | 0.3214 | 5
S078 | 0.3444 | 0.3388 | 5
S079 | 0.5111 | 0.5167 | 5
S080 | 0.4333 | 0.4412 | 5
S081 | 0.5222 | 0.5136 | 5
S082 | 0.6000 | 0.5991 | 5
S083 | 0.4222 | 0.4221 | 5
S084 | 0.4000 | 0.3523 | 5
S085 | 0.5556 | 0.5137 | 5
S086 | 0.7889 | 0.7827 | 5
S087 | 0.3556 | 0.3363 | 5
S090 | 0.5111 | 0.4632 | 5
S091 | 0.5556 | 0.5283 | 5
S093 | 0.5333 | 0.5254 | 5
S094 | 0.5889 | 0.5670 | 5
S095 | 0.3111 | 0.2983 | 5
S096 | 0.5111 | 0.4817 | 5
S097 | 0.4444 | 0.4234 | 5
S098 | 0.4556 | 0.4349 | 5
S099 | 0.3778 | 0.3544 | 5
S101 | 0.5444 | 0.5117 | 5
S102 | 0.5556 | 0.5459 | 5
S103 | 0.5667 | 0.5511 | 5
S105 | 0.6556 | 0.6228 | 5
S106 | 0.4222 | 0.4043 | 5
S107 | 0.3222 | 0.3174 | 5
S108 | 0.6000 | 0.5963 | 5
S109 | 0.3889 | 0.3541 | 5
GLOBAL | 0.5229 | 0.5035 | 5

GLOBAL:
ACC=0.523±0.114 | F1m=0.504±0.116
