subject,acc_mean,f1_macro_mean,k
S001,0.5555555555555556,0.5429004329004329,5
S002,0.5222222222222223,0.4932828282828282,5
S003,0.6333333333333333,0.5856998556998556,5
S004,0.6333333333333334,0.6308424908424909,5
S005,0.4222222222222222,0.3994261294261294,5
S006,0.5777777777777777,0.5428724053724053,5
S007,0.711111111111111,0.6911291486291485,5
S008,0.4333333333333334,0.40353979353979347,5
S009,0.5444444444444445,0.536010101010101,5
S010,0.4666666666666666,0.4510891885891885,5
S011,0.5333333333333332,0.5249206349206348,5
S012,0.5444444444444445,0.531082251082251,5
S013,0.4333333333333333,0.42099650349650347,5
S014,0.4222222222222222,0.3862121212121212,5
S015,0.7333333333333333,0.7198809523809524,5
S016,0.4666666666666666,0.4415601065601066,5
S017,0.47777777777777775,0.4467551892551892,5
S018,0.7333333333333334,0.7191522366522367,5
S019,0.6222222222222221,0.6139466089466088,5
S020,0.6333333333333333,0.629018759018759,5
S021,0.42222222222222217,0.3966955266955267,5
S022,0.7444444444444445,0.7342307692307692,5
S023,0.5333333333333334,0.49896825396825395,5
S024,0.48888888888888893,0.47070707070707074,5
S025,0.33333333333333337,0.30906926406926405,5
S026,0.37777777777777777,0.3620956820956821,5
S027,0.47777777777777775,0.46890165390165395,5
S028,0.5,0.4746869796869796,5
S029,0.4333333333333334,0.41240953490953486,5
S030,0.5777777777777777,0.565580808080808,5
S031,0.5444444444444445,0.5098229548229548,5
S032,0.6444444444444444,0.6215728715728714,5
S033,0.5555555555555556,0.5530577755577756,5
S034,0.38888888888888884,0.3877994227994228,5
S035,0.6222222222222222,0.5797602397602397,5
S036,0.6666666666666666,0.6602056277056276,5
S037,0.4333333333333333,0.39910894660894664,5
S039,0.24444444444444446,0.21203823953823955,5
S040,0.4666666666666666,0.4352994227994228,5
S041,0.5111111111111111,0.521583139083139,5
S042,0.5,0.4917676767676767,5
S043,0.5444444444444445,0.5094175269175268,5
S044,0.4999999999999999,0.47178932178932176,5
S045,0.5222222222222223,0.5120343545343544,5
S046,0.4222222222222222,0.3990728715728716,5
S047,0.4333333333333333,0.39799062049062045,5
S048,0.5999999999999999,0.5812345987345987,5
S049,0.37777777777777777,0.3371378621378621,5
S050,0.5,0.4476154401154401,5
S051,0.5777777777777777,0.5648917748917748,5
S052,0.4222222222222222,0.3936408036408036,5
S053,0.5888888888888889,0.5730050505050505,5
S054,0.5777777777777777,0.54508991008991,5
S055,0.6222222222222223,0.6189246864246863,5
S056,0.45555555555555555,0.43930375180375175,5
S057,0.6333333333333333,0.6171617271617272,5
S058,0.6222222222222221,0.615530303030303,5
S059,0.28888888888888886,0.2804961704961705,5
S060,0.5000000000000001,0.4771700521700522,5
S061,0.6555555555555556,0.6425974025974026,5
S062,0.5222222222222223,0.47703157953157954,5
S063,0.4,0.36509351759351755,5
S064,0.5222222222222224,0.47188755688755696,5
S065,0.5555555555555556,0.5273593073593072,5
S066,0.3333333333333333,0.30230158730158735,5
S067,0.4111111111111111,0.39168831168831164,5
S068,0.4222222222222222,0.3961396936396936,5
S069,0.4111111111111111,0.4126018426018426,5
S070,0.7333333333333333,0.7304256854256854,5
S071,0.5555555555555556,0.5367071817071818,5
S072,0.5666666666666667,0.5430094905094905,5
S073,0.48888888888888893,0.4671472971472971,5
S074,0.4,0.3703391053391053,5
S075,0.4222222222222222,0.39243589743589735,5
S076,0.31111111111111106,0.294030414030414,5
S077,0.3222222222222222,0.29966422466422465,5
S078,0.3777777777777777,0.38456571206571205,5
S079,0.45555555555555555,0.43502164502164503,5
S080,0.4,0.3622280497280497,5
S081,0.5555555555555556,0.547939837939838,5
S082,0.5444444444444445,0.5335397935397934,5
S083,0.3,0.2929148629148629,5
S084,0.4111111111111111,0.386145959303854,5
S085,0.5333333333333333,0.5150693750693751,5
S086,0.7444444444444445,0.7313572538572538,5
S087,0.3111111111111111,0.29664335664335667,5
S090,0.5333333333333333,0.5091722166722167,5
S091,0.5333333333333334,0.5191810966810966,5
S093,0.4444444444444445,0.42655067155067156,5
S094,0.5444444444444445,0.5208233433233433,5
S095,0.2666666666666667,0.25818764568764563,5
S096,0.5888888888888888,0.5813528138528138,5
S097,0.4333333333333334,0.409556277056277,5
S098,0.45555555555555555,0.43063797313797314,5
S099,0.38888888888888884,0.3810675435675436,5
S101,0.5111111111111111,0.4904220779220779,5
S102,0.5777777777777778,0.5582054057054056,5
S103,0.4666666666666666,0.4540628815628815,5
S105,0.6666666666666667,0.6425396825396825,5
S106,0.3888888888888889,0.3723959373959374,5
S107,0.36666666666666664,0.3573404210168916,5
S108,0.6111111111111112,0.5973115773115772,5
S109,0.37777777777777777,0.35531024531024535,5
GLOBAL,0.5007551240560949,0.4808465065681995,5
