[00:57:14] INFO: [RUN loso_all_20251006-005714] Inicio de ejecución LOSO
[00:57:14] INFO: Perillas: {'crop_window': (0.5, 4.5), 'motor_only': False, 'zscore_epoch': False, 'fb_bands': '[(8, 10), (10, 12), (12, 14), (14, 16), (16, 18), (18, 20), (20, 22), (22, 24), (24, 26), (26, 28), (28, 30)]', 'n_csp': 4, 'calibrate_k': 5}
[00:57:14] INFO: (strict=OFF) tests → ['S001', 'S002', 'S003', 'S004', 'S005', 'S006', 'S007', 'S008', 'S009', 'S010'] ...
[01:00:15] INFO: [LOSO] test=S001 | acc=0.529 | f1m=0.475 | n_test=70 | calib_k=5
[01:03:17] INFO: [LOSO] test=S002 | acc=0.500 | f1m=0.489 | n_test=64 | calib_k=5
[01:06:17] INFO: [LOSO] test=S003 | acc=0.229 | f1m=0.232 | n_test=70 | calib_k=5
[01:09:18] INFO: [LOSO] test=S004 | acc=0.375 | f1m=0.352 | n_test=64 | calib_k=5
[01:12:31] INFO: [LOSO] test=S005 | acc=0.238 | f1m=0.147 | n_test=63 | calib_k=5
[01:15:43] INFO: [LOSO] test=S006 | acc=0.281 | f1m=0.235 | n_test=64 | calib_k=5
[01:18:55] INFO: [LOSO] test=S007 | acc=0.671 | f1m=0.657 | n_test=70 | calib_k=5
[01:22:05] INFO: [LOSO] test=S008 | acc=0.531 | f1m=0.526 | n_test=64 | calib_k=5
[01:25:09] INFO: [LOSO] test=S009 | acc=0.250 | f1m=0.221 | n_test=64 | calib_k=5
[01:28:13] INFO: [LOSO] test=S010 | acc=0.531 | f1m=0.497 | n_test=64 | calib_k=5
[01:31:21] INFO: [LOSO] test=S011 | acc=0.312 | f1m=0.270 | n_test=64 | calib_k=5
[01:34:27] INFO: [LOSO] test=S012 | acc=0.500 | f1m=0.494 | n_test=64 | calib_k=5
[01:37:36] INFO: [LOSO] test=S013 | acc=0.352 | f1m=0.292 | n_test=54 | calib_k=5
[01:40:45] INFO: [LOSO] test=S014 | acc=0.297 | f1m=0.271 | n_test=64 | calib_k=5
[01:43:56] INFO: [LOSO] test=S015 | acc=0.531 | f1m=0.516 | n_test=64 | calib_k=5
[01:46:58] INFO: [LOSO] test=S016 | acc=0.328 | f1m=0.293 | n_test=64 | calib_k=5
[01:50:02] INFO: [LOSO] test=S017 | acc=0.375 | f1m=0.318 | n_test=64 | calib_k=5
[01:53:09] INFO: [LOSO] test=S018 | acc=0.188 | f1m=0.154 | n_test=64 | calib_k=5
[01:56:17] INFO: [LOSO] test=S019 | acc=0.406 | f1m=0.379 | n_test=64 | calib_k=5
[01:59:27] INFO: [LOSO] test=S020 | acc=0.266 | f1m=0.247 | n_test=64 | calib_k=5
[02:02:37] INFO: [LOSO] test=S021 | acc=0.300 | f1m=0.288 | n_test=70 | calib_k=5
[02:06:00] INFO: [LOSO] test=S022 | acc=0.286 | f1m=0.228 | n_test=70 | calib_k=5
[02:09:24] INFO: [LOSO] test=S023 | acc=0.317 | f1m=0.269 | n_test=63 | calib_k=5
[02:12:43] INFO: [LOSO] test=S024 | acc=0.381 | f1m=0.282 | n_test=21 | calib_k=5
