INTRA-SUJETO (k-fold) — Métricas por sujeto (incluye GLOBAL)
Generado: 2025-10-07 01:06:03
Total filas: 104

subject | acc_mean | f1_macro_mean | k | n_classes | crop | motor_only | zscore_epoch | n_csp | fb_bands
------------------------------------------------------------------------------------------
S001 | 0.6444 | 0.6322 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S002 | 0.6912 | 0.6805 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S003 | 0.5222 | 0.4909 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S004 | 0.6088 | 0.6065 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S005 | 0.3088 | 0.3014 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S006 | 0.3588 | 0.3451 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S007 | 0.9000 | 0.8982 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S008 | 0.5471 | 0.5329 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S009 | 0.3331 | 0.3015 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S010 | 0.5000 | 0.4754 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S011 | 0.4522 | 0.4504 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S012 | 0.5963 | 0.5903 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S013 | 0.5485 | 0.5276 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S014 | 0.4294 | 0.4186 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S015 | 0.7235 | 0.7186 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S016 | 0.3787 | 0.3560 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S017 | 0.5360 | 0.5101 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S018 | 0.3912 | 0.3808 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S019 | 0.3471 | 0.3461 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S020 | 0.4051 | 0.3717 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S021 | 0.5111 | 0.4737 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S022 | 0.4667 | 0.4696 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S023 | 0.4640 | 0.4506 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S024 | 0.6074 | 0.5876 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S025 | 0.7162 | 0.7079 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S026 | 0.5956 | 0.5898 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S027 | 0.2640 | 0.2579 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S028 | 0.3926 | 0.3693 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S029 | 0.9444 | 0.9443 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S030 | 0.5556 | 0.5462 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S031 | 0.6301 | 0.6269 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S032 | 0.7778 | 0.7713 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S033 | 0.4169 | 0.3927 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S034 | 0.6824 | 0.6804 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S035 | 0.6111 | 0.6009 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S036 | 0.4162 | 0.4190 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S037 | 0.3529 | 0.3427 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S039 | 0.2618 | 0.2302 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S040 | 0.4279 | 0.3889 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S041 | 0.5000 | 0.4898 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S042 | 0.8684 | 0.8694 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S043 | 0.6566 | 0.6568 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S044 | 0.5022 | 0.4992 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S045 | 0.7368 | 0.7276 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S046 | 0.6778 | 0.6774 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S047 | 0.2985 | 0.2728 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S048 | 0.5949 | 0.5753 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S049 | 0.7610 | 0.7564 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S050 | 0.5125 | 0.4983 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S051 | 0.3778 | 0.3795 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S052 | 0.5485 | 0.5287 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S053 | 0.4051 | 0.3924 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S054 | 0.6434 | 0.6480 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S055 | 0.6176 | 0.5981 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S056 | 0.7265 | 0.6988 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S057 | 0.4444 | 0.4281 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S058 | 0.6066 | 0.5889 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S059 | 0.3456 | 0.3377 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S060 | 0.6662 | 0.6467 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S061 | 0.5889 | 0.5818 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S062 | 0.8434 | 0.8459 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S063 | 0.4757 | 0.4519 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S064 | 0.4261 | 0.4012 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S065 | 0.4222 | 0.4166 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S066 | 0.4222 | 0.4029 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S067 | 0.3110 | 0.3022 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S068 | 0.6919 | 0.6908 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S069 | 0.4419 | 0.4268 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S070 | 0.6419 | 0.6400 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S071 | 0.6222 | 0.6138 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S072 | 0.8000 | 0.7973 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S073 | 0.5831 | 0.5866 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S074 | 0.4235 | 0.4076 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S075 | 0.4632 | 0.4503 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S076 | 0.2603 | 0.2570 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S077 | 0.3456 | 0.3372 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S078 | 0.2860 | 0.2805 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S079 | 0.3000 | 0.2715 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S080 | 0.5728 | 0.5658 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S081 | 0.4074 | 0.4077 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S082 | 0.4875 | 0.4698 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S083 | 0.5000 | 0.4886 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S084 | 0.3324 | 0.3141 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S085 | 0.6912 | 0.6833 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S086 | 0.6889 | 0.6796 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S087 | 0.3324 | 0.3224 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S090 | 0.4169 | 0.4034 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S091 | 0.4279 | 0.4278 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S093 | 0.7390 | 0.7273 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S094 | 0.7875 | 0.7806 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S095 | 0.5222 | 0.4958 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S096 | 0.3556 | 0.3279 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S097 | 0.2963 | 0.2872 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S098 | 0.4890 | 0.4612 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S099 | 0.4632 | 0.4565 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S101 | 0.3556 | 0.3290 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S102 | 0.4706 | 0.4724 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S103 | 0.4222 | 0.4212 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S105 | 0.3809 | 0.3486 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S106 | 0.4111 | 0.3996 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S107 | 0.2889 | 0.2635 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S108 | 0.4640 | 0.4517 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S109 | 0.2743 | 0.2570 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
GLOBAL | 0.5120 | 0.4996 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
