INTRA Riemann — fgmdm
Generado: 2025-10-07 23:17:09
Total filas: 104

subject | acc_mean | f1_macro_mean | k | n_classes | crop | motor_only | zscore_epoch | fb_bands | cov_estimator | model
------------------------------------------------------------------------------------------
S001 | 0.6444 | 0.6243 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S002 | 0.7971 | 0.7853 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S003 | 0.5444 | 0.5181 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S004 | 0.7015 | 0.6921 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S005 | 0.4412 | 0.4247 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S006 | 0.5110 | 0.5039 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S007 | 0.8556 | 0.8508 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S008 | 0.5360 | 0.5196 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S009 | 0.3684 | 0.3521 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S010 | 0.5471 | 0.5412 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S011 | 0.4875 | 0.4764 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S012 | 0.6294 | 0.6197 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S013 | 0.4772 | 0.4590 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S014 | 0.3801 | 0.3572 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S015 | 0.7147 | 0.7145 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S016 | 0.3691 | 0.3612 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S017 | 0.4757 | 0.4687 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S018 | 0.3934 | 0.3955 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S019 | 0.5831 | 0.5775 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S020 | 0.4412 | 0.4248 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S021 | 0.4111 | 0.3764 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S022 | 0.5556 | 0.5548 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S023 | 0.4993 | 0.4914 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S024 | 0.6143 | 0.6133 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S025 | 0.7985 | 0.7907 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S026 | 0.6191 | 0.6144 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S027 | 0.4184 | 0.4051 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S028 | 0.3934 | 0.3631 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S029 | 0.9444 | 0.9380 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S030 | 0.5000 | 0.4778 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S031 | 0.7500 | 0.7483 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S032 | 0.7556 | 0.7492 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S033 | 0.5838 | 0.5743 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S034 | 0.8588 | 0.8609 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S035 | 0.8000 | 0.7936 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S036 | 0.4066 | 0.4001 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S037 | 0.3765 | 0.3583 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S039 | 0.3228 | 0.3066 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S040 | 0.4654 | 0.4493 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S041 | 0.6471 | 0.6430 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S042 | 0.8801 | 0.8791 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S043 | 0.7022 | 0.6890 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S044 | 0.5191 | 0.4771 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S045 | 0.5831 | 0.5772 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S046 | 0.4444 | 0.4288 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S047 | 0.4162 | 0.4041 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S048 | 0.6669 | 0.6543 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S049 | 0.8206 | 0.8200 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S050 | 0.6316 | 0.6217 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S051 | 0.4778 | 0.4704 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S052 | 0.5346 | 0.5319 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S053 | 0.4044 | 0.3779 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S054 | 0.6301 | 0.6268 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S055 | 0.6662 | 0.6372 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S056 | 0.6794 | 0.6523 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S057 | 0.4556 | 0.4330 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S058 | 0.6684 | 0.6677 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S059 | 0.4522 | 0.4483 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S060 | 0.5125 | 0.4928 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S061 | 0.5889 | 0.5726 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S062 | 0.7368 | 0.7326 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S063 | 0.4941 | 0.4501 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S064 | 0.3111 | 0.2996 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S065 | 0.6111 | 0.6088 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S066 | 0.4111 | 0.3747 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S067 | 0.4757 | 0.4787 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S068 | 0.5971 | 0.5942 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S069 | 0.5346 | 0.5189 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S070 | 0.5934 | 0.5805 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S071 | 0.7000 | 0.6891 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S072 | 0.8000 | 0.7921 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S073 | 0.6301 | 0.6255 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S074 | 0.4353 | 0.4319 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S075 | 0.5213 | 0.5114 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S076 | 0.5728 | 0.5378 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S077 | 0.3919 | 0.3735 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S078 | 0.4184 | 0.3940 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S079 | 0.4431 | 0.4084 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S080 | 0.5831 | 0.5665 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S081 | 0.5243 | 0.5182 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S082 | 0.5831 | 0.5752 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S083 | 0.5444 | 0.5397 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S084 | 0.4926 | 0.4868 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S085 | 0.7397 | 0.7321 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S086 | 0.8320 | 0.8306 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S087 | 0.4529 | 0.4515 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S090 | 0.4162 | 0.3970 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S091 | 0.6051 | 0.5737 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S093 | 0.7875 | 0.7717 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S094 | 0.7265 | 0.7074 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S095 | 0.5667 | 0.5662 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S096 | 0.4902 | 0.4929 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S097 | 0.3574 | 0.3430 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S098 | 0.6551 | 0.6604 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S099 | 0.3941 | 0.3724 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S101 | 0.4333 | 0.4283 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S102 | 0.7176 | 0.7161 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S103 | 0.4667 | 0.4421 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S105 | 0.4169 | 0.4084 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S106 | 0.4222 | 0.4178 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S107 | 0.4889 | 0.4813 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S108 | 0.5831 | 0.5792 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
S109 | 0.3389 | 0.3202 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
GLOBAL | 0.5597 | 0.5477 | 5 | 4 | (0.5, 4.5) | True | False | 11 | oas | fgmdm
