[23:24:53] INFO: [RUN riem_loso_all_fgmdm_20251007-232453] LOSO Riemann | model=fgmdm | bands=11 | cov=oas | zscore_epoch=False | calib_k=15
[23:24:53] INFO: Sujetos: ['S001', 'S002', 'S003', 'S004', 'S005', 'S006', 'S007', 'S008', 'S009', 'S010', 'S011', 'S012', 'S013', 'S014', 'S015', 'S016', 'S017', 'S018', 'S019', 'S020', 'S021', 'S022', 'S023', 'S024', 'S025', 'S026', 'S027', 'S028', 'S029', 'S030', 'S031', 'S032', 'S033', 'S034', 'S035', 'S036', 'S037', 'S039', 'S040', 'S041', 'S042', 'S043', 'S044', 'S045', 'S046', 'S047', 'S048', 'S049', 'S050', 'S051', 'S052', 'S053', 'S054', 'S055', 'S056', 'S057', 'S058', 'S059', 'S060', 'S061', 'S062', 'S063', 'S064', 'S065', 'S066', 'S067', 'S068', 'S069', 'S070', 'S071', 'S072', 'S073', 'S074', 'S075', 'S076', 'S077', 'S078', 'S079', 'S080', 'S081', 'S082', 'S083', 'S084', 'S085', 'S086', 'S087', 'S090', 'S091', 'S093', 'S094', 'S095', 'S096', 'S097', 'S098', 'S099', 'S101', 'S102', 'S103', 'S105', 'S106', 'S107', 'S108', 'S109']
[23:29:17] INFO: [RIEM-LOSO] test=S001 | acc=0.433 | f1m=0.397 | n_test=30 | calib_k=15
[23:33:47] INFO: [RIEM-LOSO] test=S002 | acc=0.625 | f1m=0.597 | n_test=24 | calib_k=15
[23:38:11] INFO: [RIEM-LOSO] test=S003 | acc=0.167 | f1m=0.163 | n_test=30 | calib_k=15
[23:42:35] INFO: [RIEM-LOSO] test=S004 | acc=0.583 | f1m=0.580 | n_test=24 | calib_k=15
[23:47:02] INFO: [RIEM-LOSO] test=S005 | acc=0.208 | f1m=0.219 | n_test=24 | calib_k=15
[23:51:27] INFO: [RIEM-LOSO] test=S006 | acc=0.375 | f1m=0.365 | n_test=24 | calib_k=15
[23:55:51] INFO: [RIEM-LOSO] test=S007 | acc=0.667 | f1m=0.630 | n_test=30 | calib_k=15
[00:00:15] INFO: [RIEM-LOSO] test=S008 | acc=0.583 | f1m=0.588 | n_test=24 | calib_k=15
[00:04:45] INFO: [RIEM-LOSO] test=S009 | acc=0.125 | f1m=0.088 | n_test=24 | calib_k=15
[00:09:20] INFO: [RIEM-LOSO] test=S010 | acc=0.333 | f1m=0.332 | n_test=24 | calib_k=15
[00:13:45] INFO: [RIEM-LOSO] test=S011 | acc=0.250 | f1m=0.200 | n_test=24 | calib_k=15
[00:18:10] INFO: [RIEM-LOSO] test=S012 | acc=0.333 | f1m=0.302 | n_test=24 | calib_k=15
[00:22:35] INFO: [RIEM-LOSO] test=S013 | acc=0.409 | f1m=0.377 | n_test=22 | calib_k=15
[00:26:59] INFO: [RIEM-LOSO] test=S014 | acc=0.333 | f1m=0.278 | n_test=24 | calib_k=15
[00:31:28] INFO: [RIEM-LOSO] test=S015 | acc=0.500 | f1m=0.502 | n_test=24 | calib_k=15
[00:35:57] INFO: [RIEM-LOSO] test=S016 | acc=0.375 | f1m=0.391 | n_test=24 | calib_k=15
[00:40:23] INFO: [RIEM-LOSO] test=S017 | acc=0.417 | f1m=0.406 | n_test=24 | calib_k=15
[00:44:49] INFO: [RIEM-LOSO] test=S018 | acc=0.250 | f1m=0.256 | n_test=24 | calib_k=15
[00:49:19] INFO: [RIEM-LOSO] test=S019 | acc=0.375 | f1m=0.374 | n_test=24 | calib_k=15
[00:53:56] INFO: [RIEM-LOSO] test=S020 | acc=0.417 | f1m=0.402 | n_test=24 | calib_k=15
[00:58:28] INFO: [RIEM-LOSO] test=S021 | acc=0.400 | f1m=0.399 | n_test=30 | calib_k=15
[01:02:54] INFO: [RIEM-LOSO] test=S022 | acc=0.367 | f1m=0.353 | n_test=30 | calib_k=15
[01:07:29] INFO: [RIEM-LOSO] test=S023 | acc=0.375 | f1m=0.374 | n_test=24 | calib_k=15
