INTRA Riemann — fgmdm
Generado: 2025-10-06 02:28:19
Total filas: 104

subject | acc_mean | f1_macro_mean | k | n_classes | crop | motor_only | zscore_epoch | fb_bands | cov_estimator | model
------------------------------------------------------------------------------------------
S001 | 0.6556 | 0.6362 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S002 | 0.7500 | 0.7474 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S003 | 0.5000 | 0.4701 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S004 | 0.7257 | 0.7209 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S005 | 0.5426 | 0.5391 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S006 | 0.4985 | 0.4931 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S007 | 0.8444 | 0.8383 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S008 | 0.5838 | 0.5496 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S009 | 0.4051 | 0.3793 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S010 | 0.5941 | 0.5943 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S011 | 0.4279 | 0.4110 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S012 | 0.6294 | 0.6179 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S013 | 0.5667 | 0.5661 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S014 | 0.4162 | 0.3896 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S015 | 0.6309 | 0.6317 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S016 | 0.3088 | 0.3031 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S017 | 0.5125 | 0.5015 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S018 | 0.4529 | 0.4518 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S019 | 0.6184 | 0.6119 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S020 | 0.4662 | 0.4570 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S021 | 0.3778 | 0.3708 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S022 | 0.5444 | 0.5483 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S023 | 0.4831 | 0.4655 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S024 | 0.6083 | 0.5667 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S025 | 0.7978 | 0.7870 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S026 | 0.6066 | 0.5980 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S027 | 0.4544 | 0.4476 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S028 | 0.3824 | 0.3572 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S029 | 0.9444 | 0.9380 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S030 | 0.5333 | 0.5149 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S031 | 0.8103 | 0.8106 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S032 | 0.7778 | 0.7688 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S033 | 0.6074 | 0.6018 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S034 | 0.8353 | 0.8301 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S035 | 0.7667 | 0.7671 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S036 | 0.3463 | 0.3323 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S037 | 0.3529 | 0.3373 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S039 | 0.3456 | 0.3430 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S040 | 0.4882 | 0.4741 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S041 | 0.6582 | 0.6542 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S042 | 0.8566 | 0.8555 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S043 | 0.7265 | 0.7217 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S044 | 0.5191 | 0.4642 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S045 | 0.6066 | 0.5972 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S046 | 0.4444 | 0.4229 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S047 | 0.4522 | 0.4343 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S048 | 0.6600 | 0.6371 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S049 | 0.8434 | 0.8392 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S050 | 0.6199 | 0.6155 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S051 | 0.4333 | 0.4223 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S052 | 0.4750 | 0.4753 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S053 | 0.4757 | 0.4508 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S054 | 0.7353 | 0.7369 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S055 | 0.6544 | 0.6482 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S056 | 0.7390 | 0.7164 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
