INTRA Riemann — mdm
Generado: 2025-10-06 01:44:27
Total filas: 104

subject | acc_mean | f1_macro_mean | k | n_classes | crop | motor_only | zscore_epoch | fb_bands | cov_estimator | model
------------------------------------------------------------------------------------------
S001 | 0.6333 | 0.5942 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S002 | 0.5846 | 0.5454 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S003 | 0.4778 | 0.4538 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S004 | 0.7029 | 0.7013 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S005 | 0.2757 | 0.2552 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S006 | 0.2868 | 0.2500 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S007 | 0.8111 | 0.8040 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S008 | 0.5015 | 0.4887 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S009 | 0.3081 | 0.2603 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S010 | 0.4154 | 0.4096 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S011 | 0.4059 | 0.4076 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S012 | 0.4654 | 0.4135 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S013 | 0.4476 | 0.4349 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S014 | 0.3949 | 0.3850 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S015 | 0.5228 | 0.5174 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S016 | 0.2243 | 0.2038 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S017 | 0.3471 | 0.3238 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S018 | 0.3007 | 0.2718 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S019 | 0.4522 | 0.4279 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S020 | 0.2985 | 0.2721 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S021 | 0.3333 | 0.2823 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S022 | 0.5556 | 0.5372 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S023 | 0.4118 | 0.3909 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S024 | 0.3444 | 0.2867 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S025 | 0.8581 | 0.8563 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S026 | 0.4162 | 0.3910 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S027 | 0.4059 | 0.3885 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S028 | 0.3691 | 0.3463 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S029 | 0.7889 | 0.7885 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S030 | 0.4444 | 0.4286 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S031 | 0.5596 | 0.5453 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S032 | 0.5444 | 0.5183 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S033 | 0.3816 | 0.3543 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S034 | 0.5765 | 0.5701 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S035 | 0.6000 | 0.5668 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S036 | 0.3221 | 0.3006 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S037 | 0.2471 | 0.2285 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S039 | 0.2368 | 0.2319 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S040 | 0.2853 | 0.2639 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S041 | 0.4908 | 0.4809 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S042 | 0.8449 | 0.8362 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S043 | 0.6066 | 0.6108 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S044 | 0.4228 | 0.4045 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S045 | 0.6206 | 0.6147 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S046 | 0.5222 | 0.4956 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S047 | 0.4404 | 0.4311 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S048 | 0.5717 | 0.5613 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S049 | 0.7735 | 0.7687 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S050 | 0.5368 | 0.5034 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S051 | 0.4333 | 0.4058 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S052 | 0.4669 | 0.4558 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S053 | 0.5132 | 0.4806 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S054 | 0.6375 | 0.6029 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S055 | 0.6316 | 0.6031 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S056 | 0.6191 | 0.6018 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S057 | 0.3667 | 0.3608 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S058 | 0.5250 | 0.4878 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S059 | 0.4287 | 0.4084 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S060 | 0.6301 | 0.6017 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S061 | 0.4556 | 0.4436 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S062 | 0.7265 | 0.7193 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S063 | 0.4360 | 0.4237 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S064 | 0.4039 | 0.3951 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S065 | 0.5222 | 0.5155 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S066 | 0.4222 | 0.3977 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S067 | 0.3221 | 0.2782 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S068 | 0.5728 | 0.5599 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S069 | 0.5265 | 0.5095 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S070 | 0.7132 | 0.7019 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S071 | 0.6333 | 0.6302 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S072 | 0.8235 | 0.8174 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S073 | 0.5243 | 0.5159 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S074 | 0.3059 | 0.2970 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S075 | 0.5243 | 0.4855 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S076 | 0.4176 | 0.3940 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S077 | 0.2735 | 0.2534 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
