subject,acc_mean,f1_macro_mean,k,n_classes,crop,motor_only,zscore_epoch,fb_bands,cov_estimator,model
S001,0.6444444444444445,0.6243362193362193,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S002,0.7970588235294118,0.7852705627705628,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S003,0.5444444444444445,0.5181105006105007,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S004,0.7014705882352942,0.6920670995670996,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S005,0.44117647058823534,0.42470418470418475,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S006,0.5110294117647058,0.5038636363636364,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S007,0.8555555555555555,0.8507647907647907,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S008,0.5360294117647059,0.519613997113997,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S009,0.3683823529411765,0.3520743145743146,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S010,0.5470588235294118,0.5412301587301588,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S011,0.4875,0.4763961038961039,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S012,0.6294117647058823,0.6197330447330448,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S013,0.47720588235294115,0.45904456654456655,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S014,0.38014705882352945,0.3571572871572871,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S015,0.7147058823529412,0.7144910644910646,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S016,0.36911764705882355,0.36115079365079367,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S017,0.47573529411764703,0.4686652236652237,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S018,0.39338235294117646,0.3955194805194805,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S019,0.5830882352941177,0.5775216450216449,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S020,0.4411764705882352,0.4247763347763348,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S021,0.41111111111111115,0.37635558885558884,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S022,0.5555555555555556,0.5547763347763348,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S023,0.4992647058823529,0.49144993894993905,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S024,0.6142857142857142,0.6132539682539682,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S025,0.7985294117647058,0.7907287157287157,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S026,0.6191176470588236,0.6144444444444445,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S027,0.4183823529411764,0.4050682650682651,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S028,0.3933823529411765,0.3631024531024531,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S029,0.9444444444444444,0.9380339105339106,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S030,0.5,0.4778282828282828,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S031,0.75,0.7483225108225109,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S032,0.7555555555555555,0.7492388167388168,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S033,0.5838235294117646,0.5743109668109667,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S034,0.8588235294117647,0.8609271284271284,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S035,0.8,0.7936363636363637,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S036,0.40661764705882353,0.40011516261516256,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S037,0.37647058823529417,0.35825036075036076,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S039,0.32279411764705884,0.3066179653679654,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S040,0.46544117647058825,0.44933261183261186,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S041,0.6470588235294118,0.6430375180375181,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S042,0.8801470588235294,0.8791269841269841,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S043,0.7022058823529412,0.6890007215007214,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S044,0.5191176470588236,0.47705960705960704,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S045,0.5830882352941177,0.5772039072039072,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S046,0.4444444444444445,0.42878066378066376,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S047,0.4161764705882353,0.40413419913419907,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S048,0.6669117647058824,0.6543290043290044,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S049,0.8205882352941176,0.8199963924963924,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S050,0.6316176470588235,0.6216522366522366,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S051,0.47777777777777775,0.47041486291486284,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S052,0.5345588235294118,0.5318650793650793,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S053,0.40441176470588236,0.3778940503940504,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S054,0.6301470588235294,0.6267568542568542,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S055,0.6661764705882354,0.6372330447330448,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S056,0.6794117647058824,0.6522907647907649,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S057,0.45555555555555555,0.4330022755022755,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S058,0.6683823529411764,0.66765873015873,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S059,0.45220588235294124,0.4482647907647907,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S060,0.5125,0.49278499278499266,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S061,0.5888888888888889,0.5726101676101676,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S062,0.7367647058823529,0.7326479076479077,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S063,0.49411764705882355,0.45013875013875015,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
S064,0.3111111111111111,0.2995743145743146,5,4,"(0.5, 4.5)",True,False,11,oas,fgmdm
