subject,acc_mean,f1_macro_mean,k,n_classes,crop,motor_only,zscore_epoch,fb_bands,cov_estimator,model
S001,0.6555555555555556,0.6362121212121212,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S002,0.75,0.7474098124098124,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S003,0.5,0.4700513375513376,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S004,0.7257352941176471,0.720858585858586,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S005,0.5426470588235295,0.5391089466089467,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S006,0.4985294117647059,0.49305555555555564,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S007,0.8444444444444444,0.8383477633477634,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S008,0.5838235294117647,0.5495887445887446,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S009,0.40514705882352936,0.37928932178932173,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S010,0.5941176470588235,0.5942965367965367,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S011,0.4279411764705882,0.4109632034632035,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S012,0.6294117647058823,0.6178663003663003,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S013,0.5666666666666667,0.5660858585858586,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S014,0.4161764705882353,0.3896392496392496,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S015,0.6308823529411764,0.6316774891774892,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S016,0.30882352941176466,0.3030988455988456,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S017,0.5125,0.5015007215007216,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S018,0.45294117647058824,0.4518253968253968,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S019,0.6183823529411765,0.6119444444444444,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S020,0.4661764705882353,0.45696248196248196,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S021,0.37777777777777777,0.3708008658008658,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S022,0.5444444444444445,0.5482792207792209,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S023,0.48308823529411765,0.465530303030303,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S024,0.6083333333333333,0.5666666666666667,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S025,0.7977941176470587,0.7869985569985569,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
S026,0.6066176470588236,0.5980411255411255,5,4,"(0.5, 4.5)",False,False,11,oas,fgmdm
