subject,acc_mean,f1_macro_mean,k,n_classes,crop,motor_only,zscore_epoch,fb_bands,cov_estimator,model
S001,0.6555555555555556,0.6208982683982683,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S002,0.5963235294117647,0.554498556998557,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S003,0.4666666666666666,0.44523781773781773,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S004,0.7029411764705883,0.7012698412698413,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S005,0.2757352941176471,0.25293151293151295,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S006,0.2867647058823529,0.2533763458763459,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S007,0.8111111111111111,0.803982683982684,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S008,0.5014705882352941,0.4887265512265512,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S009,0.30808823529411766,0.26033910533910537,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S010,0.4154411764705882,0.4095743145743146,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S011,0.40588235294117647,0.4065909090909091,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S012,0.45367647058823535,0.40904040404040404,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S013,0.4609523809523809,0.4492063492063492,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S014,0.3948529411764706,0.3841378066378066,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S015,0.5227941176470587,0.5174422799422799,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S016,0.24779411764705883,0.23924353424353426,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S017,0.3345588235294118,0.31130203130203127,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S018,0.325,0.3123504273504273,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S019,0.46397058823529413,0.44012987012987015,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S020,0.2985294117647059,0.27317071817071814,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S021,0.3333333333333333,0.2811335886335886,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S022,0.5444444444444445,0.5261147186147186,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S023,0.4235294117647059,0.4125357975357975,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S024,0.36944444444444446,0.3083333333333333,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S025,0.8816176470588235,0.8823015873015873,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S026,0.4161764705882353,0.39099025974025975,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S027,0.40588235294117647,0.38850871350871347,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S028,0.36911764705882355,0.34627705627705624,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S029,0.7999999999999999,0.7984920634920634,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S030,0.4333333333333333,0.4188351925851926,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S031,0.5595588235294118,0.5447546897546898,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S032,0.5444444444444445,0.5183387445887446,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S033,0.38161764705882356,0.3542698967698968,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S034,0.5647058823529412,0.5566955266955267,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
S035,0.6,0.5692100954600955,5,4,"(0.5, 4.5)",False,False,11,oas,mdm
