subject,run,file,snr50_db,snr60_db
1,3,/root/Proyecto/EEG_Clasificador/data/raw/S001/S001R03.edf,0.672645551990586,3.50882475365868
1,4,/root/Proyecto/EEG_Clasificador/data/raw/S001/S001R04.edf,-0.2140701093384062,2.8955301895245356
1,5,/root/Proyecto/EEG_Clasificador/data/raw/S001/S001R05.edf,0.12952906008897597,3.3104388975658083
1,6,/root/Proyecto/EEG_Clasificador/data/raw/S001/S001R06.edf,0.4278899832729793,4.078901892723788
1,7,/root/Proyecto/EEG_Clasificador/data/raw/S001/S001R07.edf,-0.17997760834873439,4.139023746603716
1,8,/root/Proyecto/EEG_Clasificador/data/raw/S001/S001R08.edf,0.015544301799591861,3.865241712558695
1,9,/root/Proyecto/EEG_Clasificador/data/raw/S001/S001R09.edf,-0.08638953229160992,2.9930208405439847
1,10,/root/Proyecto/EEG_Clasificador/data/raw/S001/S001R10.edf,-0.674638419572886,2.8277502818397005
1,11,/root/Proyecto/EEG_Clasificador/data/raw/S001/S001R11.edf,-0.10250870172404664,2.5778194726722488
1,12,/root/Proyecto/EEG_Clasificador/data/raw/S001/S001R12.edf,-0.2702147750014508,4.380939483002747
1,13,/root/Proyecto/EEG_Clasificador/data/raw/S001/S001R13.edf,0.09096304748335751,2.7639908234528003
1,14,/root/Proyecto/EEG_Clasificador/data/raw/S001/S001R14.edf,0.02414275423485153,3.4590785413008907
2,3,/root/Proyecto/EEG_Clasificador/data/raw/S002/S002R03.edf,-0.020679497432117923,-0.3110662522571946
2,4,/root/Proyecto/EEG_Clasificador/data/raw/S002/S002R04.edf,0.04812234114452186,0.3567244166941602
2,5,/root/Proyecto/EEG_Clasificador/data/raw/S002/S002R05.edf,0.35506054581253194,0.4681164197237348
2,6,/root/Proyecto/EEG_Clasificador/data/raw/S002/S002R06.edf,-0.7122279230259271,-0.3581640587696075
2,7,/root/Proyecto/EEG_Clasificador/data/raw/S002/S002R07.edf,0.8443899470217192,-0.1789478051391591
2,8,/root/Proyecto/EEG_Clasificador/data/raw/S002/S002R08.edf,-0.17350303554948693,0.8542554704255795
2,9,/root/Proyecto/EEG_Clasificador/data/raw/S002/S002R09.edf,0.6457562609926991,0.10527941783787734
2,10,/root/Proyecto/EEG_Clasificador/data/raw/S002/S002R10.edf,-1.557454003518417,1.015651882291473
2,11,/root/Proyecto/EEG_Clasificador/data/raw/S002/S002R11.edf,0.3649500903580206,-0.06701174961301459
2,12,/root/Proyecto/EEG_Clasificador/data/raw/S002/S002R12.edf,-0.34555199543946247,-0.34396227545713165
2,13,/root/Proyecto/EEG_Clasificador/data/raw/S002/S002R13.edf,1.008122338228087,-0.0332820138101692
2,14,/root/Proyecto/EEG_Clasificador/data/raw/S002/S002R14.edf,-0.4905489963432227,0.509352923113495
3,3,/root/Proyecto/EEG_Clasificador/data/raw/S003/S003R03.edf,0.31967466560290914,2.587599198141816
3,4,/root/Proyecto/EEG_Clasificador/data/raw/S003/S003R04.edf,0.8143824159078629,1.8094552291771449
