subject,run,edf,event,is_mi,mi_kind
1,1,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R01.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R01.edf.event,False,
1,2,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R02.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R02.edf.event,False,
1,3,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R03.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R03.edf.event,False,
1,4,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R04.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R04.edf.event,True,LR
1,5,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R05.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R05.edf.event,False,
1,6,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R06.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R06.edf.event,True,OF
1,7,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R07.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R07.edf.event,False,
1,8,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R08.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R08.edf.event,True,LR
1,9,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R09.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R09.edf.event,False,
1,10,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R10.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R10.edf.event,True,OF
1,11,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R11.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R11.edf.event,False,
1,12,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R12.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R12.edf.event,True,LR
1,13,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R13.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R13.edf.event,False,
1,14,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R14.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S001\S001R14.edf.event,True,OF
2,1,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R01.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R01.edf.event,False,
2,2,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R02.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R02.edf.event,False,
2,3,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R03.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R03.edf.event,False,
2,4,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R04.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R04.edf.event,True,LR
2,5,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R05.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R05.edf.event,False,
2,6,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R06.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R06.edf.event,True,OF
2,7,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R07.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R07.edf.event,False,
2,8,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R08.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R08.edf.event,True,LR
2,9,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R09.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R09.edf.event,False,
2,10,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R10.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R10.edf.event,True,OF
2,11,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R11.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R11.edf.event,False,
2,12,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R12.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R12.edf.event,True,LR
2,13,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R13.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R13.edf.event,False,
2,14,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R14.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S002\S002R14.edf.event,True,OF
3,1,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R01.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R01.edf.event,False,
3,2,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R02.edf,C:\Users\joelc\Desktop\EEG_Clasificador\data\raw\S003\S003R02.edf.event,False,
